Class,Order,NCBI Acc. Num,Species 
Calcarea,Leucosolenida ,JQ272272,Sycon capricorn
,,JQ272260,Sycon carteri
,,,
,Clathrinida,JQ272288,Clathrina adusta
,,,
,,,
Homoscleromorpha,Homosclerophorida,KC869492,Plakortis halichondrioides
,,KC869521,Plakinastrella onkodes
,,,
Demospongiae,Haplosclerida,KY825184,Amphimedon compressa
,,EF654518,Amphimedon queenslandica
,,MF537184,Arenosclera amazonensis
,,KY825182,Arenosclera amazonensis
,,KC869463,Chalinula molitba
,,KC869455,Dasychalina melior
,,KC869562,Gelliodes callista
,,KC869533,Haliclona implexiformis
,,KC869599,Haliclona manglaris
,,KC869594,Haliclona sp
,,KC869461,Haliclona tubifera
,,KC869631,Haliclona vansoesti
,,MN153806,Haplosclerida sp
,,KC869628,Neopetrosia carbonaria
,,KC869499,Neopetrosia rosariensis
,,KC869591,Neopetrosia subtriangularis
,,KC869607,Oceanapia sp
,,EF654519,Oscarella pearsei
,,KC869595,Petrosia lignosa
,,KC869497,Petrosia weinbergi
,,KC869626,Siphonodictyon siphonum
,,KC869593,Xestospongia sp
